"id","Protein.Name","Accession.Number","Molecular.Weight","Protein.Group.Score","Identified.Peptide.Count","Quantitative.Value","UniprotID","Gene_name","Description","Q11.1D","Q11.2D","Q11.3D","Q11.3D.R2","Q12.1D","Q12.2D","Q12.3D","Q12.3D.R2","Q13.1D","Q13.2D","Q13.3D","Q13.3D.R2","Q14.1D","Q14.2D","Q14.3D","Q15.1D","Q15.2D","Q15.3D","R71.1D","R71.2D","R71.3D","R72.1D","R72.2D","R72.3D","R73.1D","R73.2D","R73.3D","R74.1D","R74.2D","R74.3D","R75.1D","R75.2D","R75.3D","logFC_Fish.Oil.Diet_vs_Control.Diet","CI.L_Fish.Oil.Diet_vs_Control.Diet","CI.R_Fish.Oil.Diet_vs_Control.Diet","AveExpr_Fish.Oil.Diet_vs_Control.Diet","t_Fish.Oil.Diet_vs_Control.Diet","B_Fish.Oil.Diet_vs_Control.Diet","P.Value_Fish.Oil.Diet_vs_Control.Diet","adj.P.Val_Fish.Oil.Diet_vs_Control.Diet","sig.PVal_Fish.Oil.Diet_vs_Control.Diet","sig.FDR_Fish.Oil.Diet_vs_Control.Diet"
"91","sp|Q9JI91|ACTN2_MOUSE Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2","ACTN2_MOUSE","104 kDa",0.999936069,50,NA,"Q9JI91","Actn2","Alpha-actinin-2",28.9027970815551,28.9832283406593,29.1583477178282,28.9411587927867,28.6097878117741,28.6523140585472,28.7110662301648,28.6316151655687,29.0534842088798,29.1145800696276,29.2296645952075,29.1497242335866,29.791136484521,29.8421539548816,29.9567637356931,28.9859434236464,29.0559668941905,29.0430910773804,27.9459892941477,27.9484475147308,28.0999380515355,28.194838214887,28.1350545176936,28.247000238323,27.9144651426268,28.1019445714074,28.0911843074838,27.8547129703238,27.9992932266023,27.9434106646568,27.988554436772,28.1788511350755,28.1644462142045,-1.04683707088522,-1.26283666093356,-0.830837480836886,28.6248774053627,-9.86310153600097,15.5763129441937,2.47804801452144e-11,1.98932187832416e-09,-1,-1
"92","sp|Q9QX60|DGUOK_MOUSE Deoxyguanosine kinase, mitochondrial OS=Mus musculus OX=10090 GN=Dguok PE=1 SV=3","DGUOK_MOUSE","32 kDa",0.999935888,2,NA,"Q9QX60","Dguok","Deoxyguanosine kinase, mitochondrial",17.0053259126581,18.0681117996286,16.3997051159922,18.8380971454599,16.8089157449534,17.230226941429,19.2762685165357,17.0938331513609,18.2875882777343,19.0689296653986,17.3797134280821,18.3105264835647,16.4043925820838,17.8016346342101,16.9348671534977,19.5498707317699,17.3367432943037,17.6302786837899,20.2352376483522,18.8301942038942,18.5704177451527,17.8703116172172,16.4579042757104,17.74440158649,17.9192416441262,18.5583754817749,17.9165800402718,18.6999053469658,19.0859516196435,19.0460626984586,18.4671477757839,19.3016360558702,19.0234510815749,0.769286295727291,0.126026270483443,1.41254632097114,18.0955105479921,2.43433467237374,-4.76105558127865,0.0205717836835033,0.0533684513871854,0,0
"93","sp|Q8BWT1|THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3","THIM_MOUSE","42 kDa",0.99993531,24,NA,"Q8BWT1","Acaa2","3-ketoacyl-CoA thiolase, mitochondrial",30.7343949694383,30.7566607912498,30.7299001544239,30.6916324541192,30.3128388566175,30.4075964148431,30.5043147521272,30.2126937633932,30.696878535615,30.6973315630923,30.7804627286308,30.8212604636479,30.3634640951881,30.2980122947951,30.3277315033658,30.6389146561278,30.6836288193949,30.6561297161212,31.0998971890169,31.0434934419702,31.1452584050465,30.9702133733595,30.8350110358896,30.9756247020587,30.7872416995642,30.7871667590011,30.8215289272919,30.9805044697942,30.9566019748618,30.9713071152343,30.9557667748105,30.993382841325,30.9306876201813,0.377254281283083,0.256180564573901,0.498327997992264,30.7444706927757,6.34120275790618,5.90323732558032,3.66654572154469e-07,4.70947428233962e-06,0,0
"94","sp|P54726|RD23A_MOUSE UV excision repair protein RAD23 homolog A OS=Mus musculus OX=10090 GN=Rad23a PE=1 SV=2","RD23A_MOUSE","40 kDa",0.99993444,5,NA,"P54726","Rad23a","UV excision repair protein RAD23 homolog A",22.5262377813099,22.3034244570191,22.6014351467845,22.8136764556966,22.2858226009262,22.3238074176064,22.166055850354,22.0793865139915,21.8969301895912,22.0049938963701,21.8768219437326,21.7942760950867,22.0787866296345,21.7678308600019,21.6266181038923,22.0920021005168,22.1297608071128,21.8972215694417,21.8195178782278,21.9116268153696,21.5922678032914,22.0416965957025,22.130939169722,22.1419653408604,22.3634170430355,22.3030847302662,22.1696610274153,22.3902030691933,22.1507489242965,22.372272585118,22.191465692821,22.2231370598075,22.1221086660155,0.00243591457233805,-0.191090690581224,0.1959625197259,22.1269454794003,0.0256158465230761,-7.55839858885124,0.979719202108738,0.987235650962854,0,0
"95","sp|Q8BLF1|NCEH1_MOUSE Neutral cholesterol ester hydrolase 1 OS=Mus musculus OX=10090 GN=Nceh1 PE=1 SV=1","NCEH1_MOUSE","46 kDa",0.999934404,7,NA,"Q8BLF1","Nceh1","Neutral cholesterol ester hydrolase 1",22.6573908398658,22.7563346895775,23.1876341843678,22.5808817656576,22.7619549032735,22.6891359950152,22.692643862666,22.5385332154598,22.8004655581619,22.7339449803015,22.5000129211053,22.7760590089084,22.8479526834007,22.8533414985627,22.7252110763621,23.0450460633985,22.9652673797557,22.8734570270752,23.5521335889977,23.7492458002646,23.6124409011223,23.1076747713073,23.3221286085384,22.884417110542,23.2864199556497,23.5341636757798,23.1704630566673,23.4673371528082,23.2381588940837,23.2544361739753,23.5803573437335,23.4758819191478,23.3979628132763,0.598588803675426,0.454657897648976,0.742519709701876,23.0490451339033,8.46373130215283,11.9041371251884,9.41284108419264e-10,3.44343173839452e-08,0,0
"96","sp|Q8VDN2|AT1A1_MOUSE Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus OX=10090 GN=Atp1a1 PE=1 SV=1","AT1A1_MOUSE","113 kDa",0.999933876,33,NA,"Q8VDN2","Atp1a1","Sodium/potassium-transporting ATPase subunit alpha-1",26.7898647883731,26.7084666885032,26.5982091625514,26.8590421509641,26.5042535299809,26.5501371232586,26.3825443565149,26.3367694835065,26.5936996822446,26.6114160416456,26.5899795931577,26.5230505833336,26.7411457869753,26.6640173866174,26.5550676248301,26.7216197311277,26.6750445779653,26.4935878015386,26.6456618137085,26.6894057966875,26.5455024634636,26.6520102020332,26.4972455266018,26.5435195614032,26.6503150770145,26.4269159022431,26.4362583660453,26.7328228372861,26.7224947779714,26.6767387550206,26.9348396763702,26.8461561435638,26.7921047254203,0.0473596587061742,-0.0586128401351671,0.153332157547516,26.6269669005431,0.909500047654107,-7.13894155897285,0.369731564618643,0.512235964404543,0,0
"97","sp|P28271|ACOC_MOUSE Cytoplasmic aconitate hydratase OS=Mus musculus OX=10090 GN=Aco1 PE=1 SV=3","ACOC_MOUSE","98 kDa",0.999933502,26,NA,"P28271","Aco1","Cytoplasmic aconitate hydratase",26.0855849755074,26.1568959873935,26.3574258098363,26.2069178350944,26.1862501843828,26.2198615892329,26.1648193694088,26.2449217682435,26.0580016681778,26.076760086109,26.1376360566466,26.1377569849074,25.813555776868,25.9636779064305,26.0130909017512,26.0335573682528,25.9589424642164,26.0792320962575,25.9689232037992,26.1168863490421,25.8981583299846,26.1285649019415,26.1303804106813,26.1968903200697,26.1066434242875,26.1496460652496,26.2167689075124,26.1426043062772,26.088467588382,26.2452837358884,26.0162485070677,25.9865960451482,25.9874089357298,-0.0133068661913001,-0.103873734999127,0.0772600026165268,26.0992230260539,-0.299015550085163,-7.5128511524891,0.766817528509933,0.840706622683501,0,0
"98","sp|Q9CQR4|ACO13_MOUSE Acyl-coenzyme A thioesterase 13 OS=Mus musculus OX=10090 GN=Acot13 PE=1 SV=1","ACO13_MOUSE","15 kDa",0.999932506,5,NA,"Q9CQR4","Acot13","Acyl-coenzyme A thioesterase 13",28.6692525049315,28.8846295705848,28.9912274418378,28.7038221490562,28.7528151866262,28.6116460378825,28.4791023264166,28.6609224802425,28.5838319773254,28.7180051372382,28.5132604598498,28.4994436453339,28.4864211822235,28.6974344595745,28.2787743749734,28.8060209205646,28.6638207784153,28.4827889462872,28.9226065481846,29.0982614753862,28.6091654135068,29.0184073799051,29.0137887876001,28.8637854558042,29.2667386421036,29.1544994601941,28.9876088009854,29.2608179112737,29.2298221028213,28.9530388454413,29.2467978506557,29.1772548798319,29.0036054822875,0.415789959100767,0.287624656996606,0.543955261204928,28.8269520792529,6.60223333615214,6.66248712862237,1.71936087739487e-07,2.41211307556853e-06,0,0
"99","sp|P01027|CO3_MOUSE Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3","CO3_MOUSE","186 kDa",0.99993249,60,NA,"P01027","C3","Complement C3",26.950433538955,27.0487041224114,27.4299458883468,27.0097836887053,27.1177151872852,27.2088741140641,27.2473329286726,27.2376975729896,27.2432452976791,27.2792406349245,27.299765964898,27.2710429491035,27.3461397856383,27.4127126549204,27.3889304036676,27.207144381893,27.3028378804836,27.2919335261604,27.489401903518,27.3835642528514,27.4781696195349,27.7295930426797,27.6363738026161,27.6770099452727,28.1535190175795,28.1735293256285,28.2173923757106,28.896883359668,29.0104703469687,29.0119134655395,28.8049673482543,28.8799915736622,28.9205079925271,0.992359129200814,0.685516380362007,1.29920187803962,27.6895990270548,6.58298219190129,6.58591172473185,1.86102049371931e-07,2.58574482060039e-06,0,0
"100","sp|Q7TQ48|SRCA_MOUSE Sarcalumenin OS=Mus musculus OX=10090 GN=Srl PE=1 SV=1","SRCA_MOUSE","99 kDa",0.999932384,30,NA,"Q7TQ48","Srl","Sarcalumenin",27.9939662603264,27.9315826987101,28.068200827474,27.9695850994452,27.9298001602405,27.881682469752,28.1012755236322,27.9192819522317,27.9661472152115,27.905809248689,28.1189312002698,28.1776945326403,28.0859464422448,28.0476731083521,28.2186514931797,27.9769457318501,27.9142692502353,28.1012463338383,28.0988915205888,28.1673429126243,28.2841782597334,27.7879164659014,27.782040118297,27.9728793004466,27.9181334095063,27.946675816354,28.101632388377,28.209764703786,28.0385480034864,28.3446744073637,28.0040940400688,27.954132462034,28.2037301780823,0.0371595130920284,-0.0662748348305869,0.140593861014644,28.0340401071204,0.731126577014014,-7.286259501853,0.469901014367748,0.602578702403297,0,0
"101","sp|P06684|CO5_MOUSE Complement C5 OS=Mus musculus OX=10090 GN=C5 PE=1 SV=2","CO5_MOUSE","189 kDa",0.999932294,18,NA,"P06684","C5","Complement C5",21.938436781955,21.9718766313005,22.2288850569833,22.0880791000921,22.5900207637555,22.5760117558509,22.7262408519928,22.5226852744306,22.193083000974,22.3703714482839,22.0324616738978,22.1859121915442,22.3083883224769,22.447880256713,22.4556713080251,23.0670006803604,23.1799219937393,23.1578866021264,22.6417740853908,22.6033345854195,22.8550175731376,23.2016192963371,23.1718246442601,23.3463249844699,24.0452279480913,24.0348477770304,24.052638502766,24.1286745357958,24.3217449280574,24.0343488386944,24.0466720211876,24.2222100735785,24.0359076677329,1.20276595887984,0.853526275752193,1.55200564200748,22.9934236714076,7.01029663092715,7.8133379308085,5.48403027189412e-08,9.84400464954907e-07,1,1
"102","sp|P14211|CALR_MOUSE Calreticulin OS=Mus musculus OX=10090 GN=Calr PE=1 SV=1","CALR_MOUSE","48 kDa",0.999931967,9,NA,"P14211","Calr","Calreticulin",23.7475855958888,23.6548350217772,24.2240911204862,23.9628381731679,23.7541004236599,23.9480237962638,23.4297004884571,23.8494303243428,23.7561090716126,23.7378822912157,23.6031458614985,23.5120273477366,23.7534629532187,23.9691321654764,23.7581698136711,23.5244260493361,23.7905748403362,23.7269759557635,24.1535139549292,24.0227073278186,23.8552180811328,23.9172876164105,23.8811242701117,23.822228953823,23.7085723343384,23.562189071599,23.8778300259912,23.702746725772,23.851468757775,23.6180635490158,23.8723504636259,23.9656141788044,23.9369928721604,0.0886099181144537,-0.0394926471761794,0.216712483405087,23.801527862946,1.40770562441696,-6.57008533434837,0.168639978066368,0.285178195793917,0,0
"103","sp|Q8K2B3|SDHA_MOUSE Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdha PE=1 SV=1","SDHA_MOUSE","73 kDa",0.999931687,28,NA,"Q8K2B3","Sdha","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",30.6542561004457,30.6500122195763,30.932670451945,30.7685810200917,30.4356454080598,30.4785295009997,30.3394373372709,30.384635646659,30.5011377591996,30.5444291697932,30.3848323150296,30.445356565291,30.2467790739209,30.350706753713,30.24483324751,30.4776802460738,30.4817520335852,30.447881237597,30.5731257572634,30.6630375639497,30.5360198215973,30.4409419351051,30.4561736913111,30.3630528518768,30.4884824975176,30.4029853657193,30.3705396102923,30.5070190879545,30.4604081385408,30.400267924372,30.5597779193236,30.5339636878315,30.4962618059612,-0.00370482757901414,-0.110681060246832,0.103271405088804,30.4854913256175,-0.0704803478341158,-7.55618322462371,0.944239981092349,0.9659658567635,0,0
"104","sp|Q8JZN5|ACAD9_MOUSE Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus OX=10090 GN=Acad9 PE=1 SV=2","ACAD9_MOUSE","69 kDa",0.999931072,22,NA,"Q8JZN5","Acad9","Acyl-CoA dehydrogenase family member 9, mitochondrial",25.8998211235462,25.8362568253657,25.6947070893211,25.9231945914879,25.8066828706167,25.8427368926603,25.6042653480686,25.6913071213483,25.8021209762014,25.7687696501052,25.6800668712851,25.6174164637982,25.5791162428455,25.677845007589,25.5833179850157,25.9537402374551,25.8703688719835,25.8278008562826,25.6301823245624,25.6174293531001,25.3801635199495,25.5747443908004,25.5274902307619,25.546999097134,25.636356132253,25.7206131058289,25.5629349120352,25.7509508770827,25.7074952933718,25.5860072404116,25.7469161669935,25.7060376589981,25.6218126128613,-0.137787529200178,-0.226511755175123,-0.049063303225233,25.6962323618521,-3.16049443880687,-3.08029495520717,0.00338203530389777,0.0121519236869513,0,0
"105","sp|Q9D967|MGDP1_MOUSE Magnesium-dependent phosphatase 1 OS=Mus musculus OX=10090 GN=Mdp1 PE=1 SV=1","MGDP1_MOUSE","19 kDa",0.999930341,6,NA,"Q9D967","Mdp1","Magnesium-dependent phosphatase 1",24.4267736007,24.3677115267667,23.661783633581,24.3947017787722,24.4042274429208,24.3654886730828,24.2891114824805,24.3639085898063,24.6072021352603,24.6499738803857,24.4186827953255,24.5782951580868,24.5217284846133,24.7182892418011,24.1074231058017,24.5234139254989,24.443606862856,24.1577224968972,24.3088048603895,24.3063100741853,24.0329269147623,24.5673605575312,24.3501729229466,24.566606917182,24.6521197031685,24.0919966013537,24.3111482571794,24.0396004648811,24.2749165419099,24.2121604773713,24.3781195850407,24.231339706114,23.8676560733726,-0.109475401431745,-0.273976335112635,0.0550255322491457,24.3391298324856,-1.35436435864212,-6.64161929801916,0.184891752227027,0.304812985702286,0,0
"106","sp|Q99J99|THTM_MOUSE 3-mercaptopyruvate sulfurtransferase OS=Mus musculus OX=10090 GN=Mpst PE=1 SV=4","THTM_MOUSE","33 kDa",0.999928673,8,NA,"Q99J99","Mpst","3-mercaptopyruvate sulfurtransferase",22.3333405858813,22.4438604467602,22.6415250667272,22.5523902681656,22.9305388389148,22.778690198881,22.8250533886808,22.8580075605467,22.4751223713868,22.6566464931432,23.7717599129724,23.0942090524127,22.8903837658172,22.3283596014927,23.1266174074037,22.4552462008831,22.6942148192235,23.0598025117053,22.6112801373161,23.0671920864862,23.4719454183804,22.8967784978582,22.4857068692437,23.1588467804909,22.1458109453219,22.6881627200372,23.2931992258628,22.4988669827252,22.8024017103403,23.3338256034206,23.1758479023113,22.7744799092784,22.7666298257859,0.104966724824042,-0.148798404289238,0.358731853937321,22.8208103971472,0.841851360887269,-7.19841565725301,0.405987312278012,0.54511771771414,0,0
"107","sp|Q922B2|SYDC_MOUSE Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Dars PE=1 SV=2","SYDC_MOUSE","57 kDa",0.999928577,19,NA,"Q922B2","Dars","Aspartate--tRNA ligase, cytoplasmic",25.7159607284165,25.7800130406859,25.7690244305777,25.765176380326,25.762944868629,25.73009235412,25.3630764338553,25.5378949111846,25.6426245330396,25.7168360822989,25.4420254680083,25.4611258472156,25.6145746268572,25.6693371532575,25.3725959383271,25.8278929832247,25.7740636092405,25.5371319950556,25.5483804407825,25.5061773691554,25.3411050031123,25.6465289043839,25.6020327187742,25.5028412868747,25.7790114569616,25.7275334212347,25.6748776364053,25.6231425676366,25.6720497266449,25.5669959968124,25.5974720445357,25.6255189135827,25.4686236661801,-0.0457578889237631,-0.14786946790759,0.056353690060064,25.6171115920423,-0.911965323686582,-7.1366911145864,0.368451613635347,0.511024121332466,0,0
"108","sp|P62908|RS3_MOUSE 40S ribosomal protein S3 OS=Mus musculus OX=10090 GN=Rps3 PE=1 SV=1","RS3_MOUSE","27 kDa",0.999928498,12,NA,"P62908","Rps3","40S ribosomal protein S3",24.2253828330354,24.134030705104,23.7091726388293,24.0381170504223,24.390925074096,24.3946788529471,24.2513758545507,24.2327486885807,24.2745912487988,24.3190691500113,24.2597141844819,24.2738327199231,24.479085210784,24.3801615640623,24.3340756289613,24.5745415213335,24.5278874350317,24.582994704949,24.4007697858653,24.3536735879723,24.3278241397124,24.5088473444171,24.4853830649801,24.4532134818177,24.4630895791896,24.4235296226018,24.4336423167063,24.4131344437325,24.605767086744,24.4782709387315,24.6176804195,24.6010356553556,24.6741718601251,0.183647495946605,0.0596861074702344,0.307608884422976,24.3824975270713,3.0149902795478,-3.43763038695032,0.00493479292558488,0.0166606910688555,0,0
"109","sp|P70697|DCUP_MOUSE Uroporphyrinogen decarboxylase OS=Mus musculus OX=10090 GN=Urod PE=1 SV=2","DCUP_MOUSE","41 kDa",0.999927881,5,NA,"P70697","Urod","Uroporphyrinogen decarboxylase",18.6284586309125,18.2674651051392,18.3055638274066,19.4915331249969,19.4023176645541,18.7357911808187,16.9664461372316,19.3618122084995,18.3568527200205,18.2695403386553,17.6166785570606,17.9885365133115,18.4411602717576,17.4159248739038,18.1391884759255,18.036323393598,17.7626244172343,18.4549287496917,18.6946005776595,17.8941562317225,18.6112397078833,18.204734406809,17.2632807538543,18.9503276321857,17.6431063052994,19.4647495644829,18.794129692363,19.1954178844986,18.4491125162521,19.1035213945892,19.305473951753,17.8759210314899,18.1925333489187,0.196089989388636,-0.265383195156541,0.657563173933812,18.4025288239539,0.864943631694454,-7.17857623635232,0.393395946526594,0.533716486612097,0,0
"110","sp|O08756|HCD2_MOUSE 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus OX=10090 GN=Hsd17b10 PE=1 SV=4","HCD2_MOUSE","27 kDa",0.999927838,10,NA,"O08756","Hsd17b10","3-hydroxyacyl-CoA dehydrogenase type-2",26.4846342653589,26.3117776677444,26.9589752924464,26.6398554208236,25.9788261143436,25.8402847394576,25.2424787413934,25.6754100730926,26.0174809195852,25.993133318902,25.440349303252,25.8928819287739,25.7655506041965,25.9029355708167,25.4922176804895,26.096632878029,25.9149653928775,25.8004131608791,26.0072009727695,26.1935148388882,25.7813527595721,26.0164495977588,26.0304875778783,25.9519155432917,26.2096538161038,26.0547584802298,26.0434914941899,26.2519585996772,26.0930104203289,26.1186114996925,26.2035635805597,26.1060531399867,26.1111714059021,0.10883496665183,-0.119590712976565,0.337260646280226,26.0188483878573,0.969660168719231,-7.08237221759984,0.339326948707222,0.485713165806771,0,0
"111","sp|O08677|KNG1_MOUSE Kininogen-1 OS=Mus musculus OX=10090 GN=Kng1 PE=1 SV=1","KNG1_MOUSE","73 kDa",0.999927721,14,NA,"O08677","Kng1","Kininogen-1",24.7770681972817,24.4233169762217,24.3819166730647,24.4127517530207,24.4278799428959,24.4575359327776,24.5854412367461,24.3354664274935,24.9693453370175,24.9614443417729,25.0922200239361,24.8982657297361,24.7287295010949,24.6258838342681,24.8475778222946,24.8842279976699,24.7603296206613,24.8837732559981,24.8792244373483,24.8559932493922,24.6416098887209,25.1328789921144,25.0382930065995,25.0081129386312,25.6909573271305,25.6212031732187,25.6518015719591,25.726276688934,25.5986540577069,25.7595508080833,25.5724494021619,25.6199715405756,25.6136358696534,0.668864496595788,0.447393468439292,0.890335524752283,24.9958723501873,6.14628885689484,5.33308674516134,6.48052440388635e-07,7.67570308493097e-06,0,0
"112","sp|O54984|ASNA_MOUSE ATPase Asna1 OS=Mus musculus OX=10090 GN=Asna1 PE=1 SV=2","ASNA_MOUSE","39 kDa",0.999927699,5,NA,"O54984","Asna1","ATPase Asna1",22.3793035219157,22.3202768496224,21.8915920206876,22.0889377380481,22.4182197112427,22.3789329218049,21.0808709423714,21.8749103949908,22.1670766103064,21.8427571524189,21.2121664003872,21.3341457273805,22.0927590896921,21.9628221622265,21.4611595774549,22.1247627984297,22.15143329064,21.6653478210064,21.851437430768,21.8152234362909,21.4465174709674,22.1172782729659,22.2024068474102,21.8776023196802,21.9745006804951,22.0771955414528,21.9393239473448,21.9102456453287,22.1276731386513,21.7660016804685,22.013672229589,22.0068884476468,21.8113603258284,0.0154065648466357,-0.216742888417582,0.247556018110853,21.9207515801671,0.135063283153269,-7.54936370993126,0.893389153173213,0.931083538647885,0,0
"113","sp|Q9WTL7|LYPA2_MOUSE Acyl-protein thioesterase 2 OS=Mus musculus OX=10090 GN=Lypla2 PE=1 SV=1","LYPA2_MOUSE","25 kDa",0.999927317,6,NA,"Q9WTL7","Lypla2","Acyl-protein thioesterase 2",22.6833486689991,22.4634595116262,22.2394330782023,22.2371304832861,22.6705919233043,25.0631825280274,24.5583474001595,24.6039337806412,23.5728459529956,23.6793273029002,23.4391049307864,23.2874879699742,22.9808819342799,23.7586732767627,23.353181047044,24.5041981102488,24.494604144886,24.4284229112204,22.6008335619688,23.3144244164362,23.3743106247202,24.5006148017317,24.9834334662366,24.7061038725282,24.7541938057208,25.0213619830743,25.4935532618391,24.5182102914736,24.9216127635701,25.0351552510253,24.7406049967816,24.6889712199159,24.9448013291257,0.949981545557399,0.359974603826483,1.53998848728832,23.988373957621,3.27745622457357,-2.78923156306608,0.00249336960609289,0.00953153195979953,0,0
"114","sp|P70296|PEBP1_MOUSE Phosphatidylethanolamine-binding protein 1 OS=Mus musculus OX=10090 GN=Pebp1 PE=1 SV=3","PEBP1_MOUSE","21 kDa",0.999926872,9,NA,"P70296","Pebp1","Phosphatidylethanolamine-binding protein 1",28.6670950872701,28.7344740696481,29.150424422587,28.7376979082678,28.7606940799329,28.889926425424,28.8084863711619,28.8717364284881,28.6886117196516,28.6728321692313,28.6189458245026,28.6941288866516,28.9194949048416,28.7543262211896,28.6403680555373,28.6859745328269,28.6546587840938,28.6870416864212,28.3740133620912,28.1925289246534,28.373140055948,28.6833336949555,28.6034423958699,28.6460206562019,28.6028290169468,28.7010172802162,28.7386326833493,28.6377031569695,28.7023314983461,28.6949195249613,28.4294346037801,28.4954110207846,28.6501537771103,-0.189279088617035,-0.298567699555278,-0.0799904776787908,28.6715705827246,-3.5246424490823,-2.14882596478902,0.00127589976608291,0.00535174212478897,0,0
"115","sp|Q9DC70|NDUS7_MOUSE NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs7 PE=1 SV=1","NDUS7_MOUSE","25 kDa",0.999926792,7,NA,"Q9DC70","Ndufs7","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",27.5034431348845,27.5462699592527,27.8895772419052,27.525457894831,27.3107115433657,27.4068694794604,27.5731382428012,27.3996758021853,27.4676154471873,27.4523014070822,27.6457309757702,27.5691872150957,27.1771665112023,27.2851364244229,27.5329167589722,27.464933816823,27.5047214234766,27.6913279161462,27.1772266364102,27.4261521474316,27.3881342549525,27.2557556105859,27.3500369846562,27.2939499394934,27.3301969424294,27.3179750899272,27.4659023701255,27.4556737851854,27.2461936159321,27.3973672223313,27.3225920126248,27.2503435468441,27.4903420828122,-0.152487250265253,-0.254700468104408,-0.0502740324260977,27.4276976798972,-3.03608418484052,-3.38640403909164,0.00467388845408117,0.0159099383183682,0,0
"116","sp|Q9CR61|NDUB7_MOUSE NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Mus musculus OX=10090 GN=Ndufb7 PE=1 SV=3","NDUB7_MOUSE","16 kDa",0.999926714,8,NA,"Q9CR61","Ndufb7","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7",26.256107264165,26.315022080819,25.6827952222911,25.8444303886173,26.3663838890625,26.4447352621497,26.6164244951269,26.6144795454853,26.4613201476019,26.4953928659587,26.6186107706061,26.2732761357374,26.3534036858202,26.4043330747959,26.4942554253836,26.5019958494236,26.597424298763,26.6158311406668,26.3350836921209,26.1952160470637,26.3040916352732,26.2643771007422,26.2699039213109,26.2806546829819,26.2313579208011,26.1009882443755,26.1500704578694,26.2273334103776,26.1741454927121,26.2507074069578,26.3702497989725,26.1985519044658,26.2929234593896,-0.143413073998719,-0.286465557200161,-0.000360590797276739,26.3212689914512,-2.04023729053337,-5.54537493697955,0.0494580792016254,0.106428778028814,0,0
"117","sp|Q921G7|ETFD_MOUSE Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus OX=10090 GN=Etfdh PE=1 SV=1","ETFD_MOUSE","68 kDa",0.999926686,25,NA,"Q921G7","Etfdh","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",30.5155528586144,30.6172005896448,30.7964797388769,30.6411656627152,30.2611430293233,30.3184482245449,30.5081702468567,30.2993435050026,30.492904406807,30.5624969611644,30.7493810993497,30.6802756727388,30.4058145140528,30.4152082786525,30.4587195927108,30.5115341169888,30.5833502122557,30.6464155126339,30.868912597289,30.8045028503373,30.9822029892916,30.8320707635415,30.8232513288877,30.9758432892227,30.7803101765488,30.8313354459593,30.9573835123012,30.8214947742726,30.9412337267395,31.0173602475785,30.8734424580995,30.9877630946018,31.0557115123766,0.377765460973549,0.279911465571568,0.47561945637553,30.6974673633327,7.85653451070676,10.2344740096165,4.93032365700915e-09,1.35701289226252e-07,0,0
"118","sp|P49312|ROA1_MOUSE Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus OX=10090 GN=Hnrnpa1 PE=1 SV=2","ROA1_MOUSE","34 kDa",0.999926141,4,NA,"P49312","Hnrnpa1","Heterogeneous nuclear ribonucleoprotein A1",20.9421254231636,21.1714941705486,20.331150237671,20.8301528037144,21.2684881266434,19.4364310657795,21.4820811575127,21.1861406362535,20.6765892570878,20.0963894211037,20.906752706568,20.8989775966991,20.995051626634,20.6375515483817,21.2510279819268,20.1157785133229,19.9653927216471,20.6982173407945,19.7217474874374,19.1537362561009,21.2812857124867,20.4070730003451,20.3980417199296,21.1839681547385,20.282769984819,20.3879486175166,19.7171961548683,20.0047973054831,19.3762846861803,20.2097241215361,19.5085799096281,19.4464818581285,20.8595504887828,-0.58682054365973,-0.999866600986358,-0.173774486333102,20.4493629634374,-2.89191604452024,-3.73402165534397,0.00677135438341506,0.0215838562996758,0,0
